Country,Date,Round,Coordinates,Region
Chile,2021-06-01,1,"-28.744575206710671,-70.7767012218138",Atacama
Austria,2021-06-01,2,"47.229933315076451,12.050395177344379",Tirol
"United Arab Emirates",2021-06-01,3,"25.148743076168611,55.881564448284188",Sharjah
Bolivia,2021-06-01,4,"-18.0708874,-64.4221096","Departamento de Santa Cruz"
Norway,2021-06-01,5,"61.958975346833412,5.9449716925184912",Vestland
Argentina,2021-06-02,1,"-26.501086901823118,-61.195955779995963",Chaco
Malaysia,2021-06-02,2,"4.5670210289680684,103.39843905581959",Terengganu
Malaysia,2021-06-02,3,"4.2211136944975731,101.7971900372895",Pahang
Latvia,2021-06-02,4,"56.4684326,22.888057339313509","Dobeles novads"
Iceland,2021-06-02,5,"64.1749516,-21.6764423",Mosfellsbær
Botswana,2021-06-03,1,"-19.949232,23.4795039","North-West District"
Türkiye,2021-06-03,2,"38.086576553930321,31.372487400123529",Isparta
Israel,2021-06-03,3,"31.379294862159242,35.383907807452687","South District"
Indonesia,2021-06-03,4,"-6.9009654838434109,112.1184395175556","Jawa Timur"
"United States",2021-06-03,5,"37.811469559530607,-122.4837735078906",California
"Isle of Man",2021-06-04,1,"54.16799087359793,-4.5085236131228363",Braddan
Colombia,2021-06-04,2,"6.8309563,-72.697631",Santander
Kenya,2021-06-04,3,"-1.3679788609651931,38.013287559842453","Kitui County"
"United Kingdom",2021-06-04,4,"51.985785084957413,-0.23198880637764629",Hertfordshire
Thailand,2021-06-04,5,"17.742254394552059,100.678368703897",Uttaradit
"United States",2021-06-05,1,"19.13398326066325,-155.5052268407394",Hawaii
Botswana,2021-06-05,2,"-18.741246683820151,22.166352262450449","North-West District"
Albania,2021-06-05,3,"40.425880497624213,20.67620005513464","Qarku i Korçës"
Botswana,2021-06-05,4,"-24.37237855198569,23.543509856575049","Southern District"
Indonesia,2021-06-05,5,"-6.5940367357404668,106.2249496754755",Banten
Ukraine,2021-06-06,1,"50.0885966,36.3122109","Kharkivs'ka oblast"
Finland,2021-06-06,2,"63.0592090469673,25.577453418759109",Keski-Suomi
