Country,Date,Round,Challenge,Streetview,Coordinates,Region,Record Count
Chile,"Jun 1, 2021",1,Challenge,Street view,"-28.744575206710671,-70.7767012218138",Atacama,1
Austria,"Jun 1, 2021",2,Challenge,Street view,"47.229933315076451,12.050395177344379",Tirol,1
United Arab Emirates,"Jun 1, 2021",3,Challenge,Street view,"25.148743076168611,55.881564448284188",Sharjah,1
Bolivia,"Jun 1, 2021",4,Challenge,Street view,"-18.0708874,-64.4221096",Departamento de Santa Cruz,1
Norway,"Jun 1, 2021",5,Challenge,Street view,"61.958975346833412,5.9449716925184912",Vestland,1
Argentina,"Jun 2, 2021",1,Challenge,Street view,"-26.501086901823118,-61.195955779995963",Chaco,1
Malaysia,"Jun 2, 2021",2,Challenge,Street view,"4.5670210289680684,103.39843905581959",Terengganu,1
Malaysia,"Jun 2, 2021",3,Challenge,Street view,"4.2211136944975731,101.7971900372895",Pahang,1
Latvia,"Jun 2, 2021",4,Challenge,Street view,"56.4684326,22.888057339313509",Dobeles novads,1
Iceland,"Jun 2, 2021",5,Challenge,Street view,"64.1749516,-21.6764423",Mosfellsbær,1
Botswana,"Jun 3, 2021",1,Challenge,Street view,"-19.949232,23.4795039",North-West District,1
Türkiye,"Jun 3, 2021",2,Challenge,Street view,"38.086576553930321,31.372487400123529",Isparta,1
Israel,"Jun 3, 2021",3,Challenge,Street view,"31.379294862159242,35.383907807452687",South District,1
Indonesia,"Jun 3, 2021",4,Challenge,Street view,"-6.9009654838434109,112.1184395175556",Jawa Timur,1
United States,"Jun 3, 2021",5,Challenge,Street view,"37.811469559530607,-122.4837735078906",California,1
Isle of Man,"Jun 4, 2021",1,Challenge,Street view,"54.16799087359793,-4.5085236131228363",Braddan,1
Colombia,"Jun 4, 2021",2,Challenge,Street view,"6.8309563,-72.697631",Santander,1
Kenya,"Jun 4, 2021",3,Challenge,Street view,"-1.3679788609651931,38.013287559842453",Kitui County,1
United Kingdom,"Jun 4, 2021",4,Challenge,Street view,"51.985785084957413,-0.23198880637764629",Hertfordshire,1
Thailand,"Jun 4, 2021",5,Challenge,Street view,"17.742254394552059,100.678368703897",Uttaradit,1
United States,"Jun 5, 2021",1,Challenge,Street view,"19.13398326066325,-155.5052268407394",Hawaii,1
Botswana,"Jun 5, 2021",2,Challenge,Street view,"-18.741246683820151,22.166352262450449",North-West District,1
Albania,"Jun 5, 2021",3,Challenge,Street view,"40.425880497624213,20.67620005513464",Qarku i Korçës,1
Botswana,"Jun 5, 2021",4,Challenge,Street view,"-24.37237855198569,23.543509856575049",Southern District,1
